METRICS,PROXY
Breadth of Outreach,"Loan portfolio; 
Credit clients; 
Average loan; Savings; savers."
,
Depth of Outreach,"Average loan; 
Average loan/ GDP per capita; 
Female borrowers; 
Rural borrowers."
